Date,Shift,Component,Defect Type,Temperature,Rejected Qty,Produced Qty,Machine,Sand Moisture (%),Pouring Time (sec),Operator,Cooling Time (min),Mold Hardness,Humidity (%),Inspection Result,Rejection Rate (%),Month,Year
2025-07-21,C,Gear Housing,Shrinkage,733.0,27,965,M5,5.09,21.65,OP13,68,76,83,Pass,2.8,7.0,2025.0
2026-04-02,A,Cylinder Head,Porosity,761.0,1,1043,M4,3.94,11.25,OP04,49,93,68,Pass,0.1,4.0,2026.0
2026-01-27,C,Cylinder Head,Shrinkage,711.0,36,476,M2,3.27,28.87,OP05,27,90,47,Fail,7.56,1.0,2026.0
2026-01-02,B,Brake Drum,Sand Inclusion,742.0,0,423,M4,3.46,19.34,OP04,46,61,80,Pass,0.0,1.0,2026.0
2026-01-20,B,Clutch Plate,Porosity,689.0,48,572,M2,3.47,29.55,OP05,82,82,57,Pass,8.39,1.0,2026.0
2025-12-01,B,Engine Block,Crack,667.0,85,945,M2,3.89,27.03,OP15,80,69,38,Pass,8.99,12.0,2025.0
2025-08-07,B,Cylinder Head,Shrinkage,750.0,90,1128,M3,5.6,17.16,OP19,90,94,68,Pass,7.98,8.0,2025.0
2026-03-22,B,Brake Drum,Misrun,716.894983277592,2,400,M3,3.91,10.39,OP15,48,93,55,Pass,0.5,3.0,2026.0
2025-03-14,B,Brake Drum,Crack,743.0,61,1077,M4,4.88,14.16,OP20,51,92,76,Fail,5.66,3.0,2025.0
2025-12-18,A,Wheel Hub,Shrinkage,652.0,55,838,M1,5.27,16.37,OP13,52,80,59,Pass,6.56,12.0,2025.0
2025-02-12,C,Wheel Hub,Crack,669.0,5,1192,M5,5.48,18.7,OP12,33,64,44,Pass,0.42,2.0,2025.0
2025-01-16,B,Cylinder Head,Crack,666.0,111,1114,M2,7.32,22.08,OP08,72,77,58,Fail,9.96,1.0,2025.0
2025-09-23,C,Brake Drum,Cold Shut,671.0,28,522,M2,7.43,25.97,OP04,31,95,41,Fail,5.36,9.0,2025.0
2026-04-12,A,Gear Housing,Misrun,772.0,76,686,M4,6.98,28.47,OP18,54,86,79,Fail,11.08,4.0,2026.0
2025-07-10,C,Engine Block,Crack,687.0,0,959,M3,6.85,23.65,OP02,84,66,55,Pass,0.0,7.0,2025.0
2026-03-20,C,Clutch Plate,Cold Shut,728.0,137,1185,M4,5.73,12.87,OP18,46,66,36,Pass,11.56,3.0,2026.0
2026-05-13,A,Wheel Hub,Crack,720.0,43,1055,M5,7.37,29.14,OP04,60,84,84,Fail,4.08,5.0,2026.0
2026-01-29,B,Brake Drum,Misrun,657.0,14,1016,M1,4.43,24.58,OP09,81,62,46,Fail,1.38,1.0,2026.0
2025-09-14,B,Gear Housing,Crack,683.0,75,946,M2,5.72,22.24,OP04,89,82,43,Pass,7.93,9.0,2025.0
2025-02-02,B,Cylinder Head,Shrinkage,697.0,61,905,M4,6.09,13.22,OP02,24,74,55,Fail,6.74,2.0,2025.0
2026-01-06,A,Clutch Plate,Sand Inclusion,743.0,104,933,M5,6.45,17.78,OP19,59,93,43,Pass,11.15,1.0,2026.0
2025-11-30,A,Clutch Plate,Cold Shut,662.0,80,1026,M1,6.33,27.22,OP03,35,67,40,Fail,7.8,11.0,2025.0
2026-03-16,B,Cylinder Head,Cold Shut,757.0,73,743,M3,3.04,21.13,OP04,25,84,54,Pass,9.83,3.0,2026.0
2025-01-06,A,Wheel Hub,Porosity,723.0,32,1044,M5,5.73,29.18,OP16,44,83,39,Fail,3.07,1.0,2025.0
2025-12-19,C,Cylinder Head,Crack,718.0,22,718,M5,6.54,23.41,OP20,31,89,42,Fail,3.06,12.0,2025.0
2025-09-28,A,Cylinder Head,Cold Shut,760.0,22,743,M2,5.65,18.95,OP04,61,80,84,Pass,2.96,9.0,2025.0
2025-09-03,B,Cylinder Head,Shrinkage,650.0,65,1096,M5,6.85,20.85,OP19,74,62,50,Pass,5.93,9.0,2025.0
2025-06-10,C,Brake Drum,Crack,720.0,2,1035,M2,7.21,21.44,OP07,70,71,58,Pass,0.19,6.0,2025.0
2025-09-29,A,Clutch Plate,Cold Shut,748.0,5,468,M1,4.77,26.63,OP12,22,76,43,Pass,1.07,9.0,2025.0
2025-07-20,A,Brake Drum,Cold Shut,734.0,2,667,M3,6.17,12.35,OP03,81,74,74,Fail,0.3,7.0,2025.0
2025-09-05,C,Brake Drum,Shrinkage,655.0,30,661,M1,6.05,18.48,OP09,63,93,38,Pass,4.54,9.0,2025.0
2026-02-05,B,Brake Drum,Shrinkage,750.0,9,665,M5,4.54,27.34,OP18,87,65,64,Pass,1.35,2.0,2026.0
2026-04-05,A,Engine Block,Porosity,651.0,6,435,M4,7.32,21.14,OP10,61,85,37,Pass,1.38,4.0,2026.0
2025-02-15,A,Gear Housing,Misrun,693.0,41,1124,M1,3.56,26.8,OP04,52,74,37,Fail,3.65,2.0,2025.0
2026-03-26,C,Clutch Plate,Shrinkage,655.0,75,1038,M5,5.64,11.31,OP17,82,92,38,Fail,7.23,3.0,2026.0
2025-10-19,A,Gear Housing,Sand Inclusion,723.0,6,766,M3,4.64,10.56,OP05,24,69,38,Pass,0.78,10.0,2025.0
2026-04-04,C,Brake Drum,Sand Inclusion,667.0,61,663,M1,4.2,14.6,OP17,22,77,63,Fail,9.2,4.0,2026.0
2025-11-08,C,Brake Drum,Crack,664.0,11,760,M3,7.49,29.38,OP06,60,63,48,Fail,1.45,11.0,2025.0
2025-11-28,A,Clutch Plate,Cold Shut,744.0,1,899,M3,4.94,26.68,OP20,46,65,44,Pass,0.11,11.0,2025.0
2025-11-06,B,Clutch Plate,Crack,736.0,0,449,M4,5.96,12.4,OP08,78,69,77,Pass,0.0,11.0,2025.0
2025-04-25,B,Wheel Hub,Misrun,685.0,34,509,M4,3.57,25.35,OP07,31,89,79,Fail,6.68,4.0,2025.0
2025-09-13,A,Gear Housing,Misrun,772.0,56,818,M3,6.69,19.92,OP11,49,83,76,Pass,6.85,9.0,2025.0
2025-07-22,C,Engine Block,Porosity,731.0,4,499,M2,6.07,16.79,OP18,41,69,66,Pass,0.8,7.0,2025.0
2025-01-29,B,Engine Block,Cold Shut,722.0,80,1184,M4,3.91,24.5,OP09,75,75,67,Pass,6.76,1.0,2025.0
2025-11-20,A,Gear Housing,Shrinkage,766.0,11,902,M4,6.12,11.35,OP18,85,93,49,Pass,1.22,11.0,2025.0
2026-02-04,B,Gear Housing,Shrinkage,703.0,95,1070,M4,6.95,28.06,OP08,31,94,54,Fail,8.88,2.0,2026.0
2025-04-21,A,Gear Housing,Crack,688.0,35,573,M1,6.47,10.04,OP07,28,83,53,Fail,6.11,4.0,2025.0
2025-07-19,B,Wheel Hub,Sand Inclusion,697.0,72,1034,M1,5.69,15.86,OP02,88,92,70,Pass,6.96,7.0,2025.0
2025-09-11,C,Engine Block,Porosity,727.0,39,452,M5,6.26,28.4,OP09,64,87,53,Pass,8.63,9.0,2025.0
2025-12-06,A,Wheel Hub,Misrun,679.0,23,521,M2,4.34,14.66,OP13,35,77,78,Pass,4.41,12.0,2025.0
2025-06-01,A,Wheel Hub,Misrun,710.0,11,930,M5,5.68,11.09,OP04,81,79,67,Fail,1.18,6.0,2025.0
2026-01-03,A,Cylinder Head,Sand Inclusion,775.0,12,594,M1,6.04,15.9,OP10,63,83,44,Fail,2.02,1.0,2026.0
2025-08-17,A,Gear Housing,Porosity,672.0,11,807,M4,5.95,28.9,OP13,82,86,75,Fail,1.36,8.0,2025.0
2025-03-04,B,Engine Block,Misrun,699.0,60,923,M1,4.24,22.33,OP18,75,92,49,Fail,6.5,3.0,2025.0
2025-04-03,B,Clutch Plate,Sand Inclusion,663.0,38,786,M2,6.5,17.8,OP14,76,92,44,Fail,4.83,4.0,2025.0
2026-04-06,B,Engine Block,Porosity,727.0,3,982,M4,5.78,13.1,OP17,37,89,52,Fail,0.31,4.0,2026.0
2026-04-28,A,Wheel Hub,Crack,757.0,81,1082,M1,4.87,19.81,OP15,70,91,45,Pass,7.49,4.0,2026.0
2025-06-21,B,Wheel Hub,Misrun,679.0,55,952,M2,6.17,26.63,OP10,36,61,45,Pass,5.78,6.0,2025.0
2026-01-24,C,Gear Housing,Misrun,708.0,12,688,M2,4.07,20.28,OP11,56,93,55,Fail,1.74,1.0,2026.0
,A,Clutch Plate,Porosity,674.0,109,1175,M2,5.57,14.08,OP04,48,69,57,Fail,9.28,,
2026-02-01,B,Brake Drum,Sand Inclusion,677.0,18,1023,M1,6.59,30.0,OP09,74,66,83,Fail,1.76,2.0,2026.0
2025-01-18,C,Clutch Plate,Crack,700.0,12,768,M2,7.3,15.57,OP16,90,78,40,Pass,1.56,1.0,2025.0
2025-09-17,B,Engine Block,Shrinkage,742.0,13,791,M5,5.21,13.4,OP05,62,94,62,Pass,1.64,9.0,2025.0
2025-08-31,C,Brake Drum,Sand Inclusion,685.0,81,1119,M5,5.45,20.98,OP20,64,90,45,Fail,7.24,8.0,2025.0
2026-02-26,C,Wheel Hub,Crack,723.0,38,479,M1,5.52,20.0,OP13,40,69,36,Fail,7.93,2.0,2026.0
2025-05-13,C,Clutch Plate,Misrun,700.0,27,1159,M3,3.67,24.57,OP04,87,79,69,Fail,2.33,5.0,2025.0
2026-05-14,B,Gear Housing,Porosity,758.0,21,580,M2,4.67,13.99,OP05,58,67,40,Fail,3.62,5.0,2026.0
2026-01-25,A,Wheel Hub,Shrinkage,661.0,111,1170,M5,6.63,21.72,OP17,72,63,53,Pass,9.49,1.0,2026.0
2026-03-10,C,Brake Drum,Porosity,776.0,30,537,M2,3.58,10.89,OP18,44,89,64,Fail,5.59,3.0,2026.0
2026-04-29,C,Brake Drum,Cold Shut,703.0,31,481,M1,5.08,24.02,OP10,86,87,85,Fail,6.44,4.0,2026.0
2025-09-23,A,Wheel Hub,Porosity,682.0,34,470,M1,4.09,29.11,OP03,76,91,61,Fail,7.23,9.0,2025.0
2026-01-20,B,Wheel Hub,Misrun,705.0,39,527,M3,7.09,11.33,OP20,33,68,72,Pass,7.4,1.0,2026.0
2025-08-24,B,Clutch Plate,Sand Inclusion,752.0,118,1162,M1,4.3,23.47,OP05,45,69,71,Pass,10.15,8.0,2025.0
2025-12-09,C,Engine Block,Porosity,776.0,7,559,M4,3.13,10.63,OP01,69,90,54,Fail,1.25,12.0,2025.0
2026-02-16,C,Brake Drum,Sand Inclusion,741.0,27,481,M1,6.76,22.49,OP12,22,78,67,Pass,5.61,2.0,2026.0
2026-03-08,B,Gear Housing,Sand Inclusion,763.0,78,1150,M1,5.73,11.02,OP17,25,84,55,Fail,6.78,3.0,2026.0
2026-01-18,C,Engine Block,Crack,713.0,22,933,M5,4.41,29.71,OP06,67,86,35,Pass,2.36,1.0,2026.0
2026-03-09,C,Cylinder Head,Crack,663.0,54,785,M5,3.61,17.87,OP14,85,86,81,Pass,6.88,3.0,2026.0
2025-05-30,A,Cylinder Head,Crack,774.0,108,989,M2,5.26,14.19,OP20,23,76,83,Fail,10.92,5.0,2025.0
2026-05-03,B,Wheel Hub,Misrun,703.0,53,1050,M2,3.97,27.83,OP13,42,64,65,Pass,5.05,5.0,2026.0
2025-09-24,A,Cylinder Head,Sand Inclusion,712.0,64,867,M1,7.22,11.07,OP05,55,78,64,Fail,7.38,9.0,2025.0
2025-02-01,A,Engine Block,Misrun,721.0,18,555,M2,3.48,19.61,OP01,35,66,63,Fail,3.24,2.0,2025.0
,B,Engine Block,Misrun,771.0,2,511,M5,5.97,10.42,OP03,65,95,53,Pass,0.39,,
2025-07-22,B,Engine Block,Crack,696.0,31,907,M4,5.53,27.23,OP09,43,62,81,Pass,3.42,7.0,2025.0
2025-12-06,A,Brake Drum,Porosity,774.0,44,888,M2,7.2,19.69,OP09,86,72,60,Pass,4.95,12.0,2025.0
2025-11-07,B,Engine Block,Shrinkage,746.0,46,543,M5,5.45,29.27,OP17,61,68,53,Pass,8.47,11.0,2025.0
2025-01-09,C,Wheel Hub,Shrinkage,687.0,40,585,M2,4.89,18.23,OP13,62,61,41,Fail,6.84,1.0,2025.0
2026-01-11,B,Brake Drum,Crack,683.0,54,724,M3,4.82,10.7,OP16,81,87,59,Fail,7.46,1.0,2026.0
2026-05-01,B,Engine Block,Shrinkage,775.0,75,726,M3,3.47,26.78,OP18,81,69,84,Fail,10.33,5.0,2026.0
2026-02-15,A,Clutch Plate,Crack,736.0,57,1096,M1,5.64,15.94,OP06,65,71,65,Fail,5.2,2.0,2026.0
2025-10-07,A,Clutch Plate,Cold Shut,743.0,9,482,M3,6.94,16.1,OP06,30,65,57,Fail,1.87,10.0,2025.0
2025-03-28,A,Wheel Hub,Sand Inclusion,677.0,35,827,M3,6.19,23.44,OP15,30,93,56,Fail,4.23,3.0,2025.0
2026-03-30,C,Engine Block,Porosity,659.0,79,805,M3,3.39,22.44,OP16,50,67,45,Pass,9.81,3.0,2026.0
2025-07-25,C,Engine Block,Misrun,726.0,25,457,M3,3.21,16.24,OP17,55,85,85,Pass,5.47,7.0,2025.0
2026-03-28,C,Brake Drum,Cold Shut,664.0,57,604,M1,3.89,22.99,OP16,51,62,72,Fail,9.44,3.0,2026.0
2025-07-10,C,Clutch Plate,Cold Shut,662.0,90,758,M3,7.11,20.43,OP06,61,86,65,Fail,11.87,7.0,2025.0
2025-09-04,C,Cylinder Head,Sand Inclusion,750.0,74,775,M2,7.02,20.0,OP06,43,74,70,Pass,9.55,9.0,2025.0
2025-03-03,C,Wheel Hub,Shrinkage,690.0,49,1196,M4,3.58,13.13,OP10,20,77,38,Pass,4.1,3.0,2025.0
2025-02-18,B,Brake Drum,Misrun,669.0,56,760,M2,4.43,17.23,OP10,90,70,65,Fail,7.37,2.0,2025.0
2026-01-21,C,Clutch Plate,Misrun,650.0,5,1064,M4,4.72,13.0,OP04,75,65,82,Fail,0.47,1.0,2026.0
2025-11-21,B,Brake Drum,Cold Shut,678.0,65,685,M4,7.49,12.24,OP09,72,83,65,Pass,9.49,11.0,2025.0
2025-07-18,C,Wheel Hub,Crack,685.0,59,1045,M3,3.25,25.0,OP20,84,71,75,Fail,5.65,7.0,2025.0
2025-01-10,B,Brake Drum,Crack,701.0,17,681,M3,3.62,18.55,OP17,56,78,45,Fail,2.5,1.0,2025.0
2026-04-12,C,Brake Drum,Misrun,761.0,45,1159,M3,3.35,22.65,OP05,70,64,43,Pass,3.88,4.0,2026.0
2025-06-07,C,Gear Housing,Sand Inclusion,655.0,61,585,M2,5.47,25.6,OP15,75,90,69,Pass,10.43,6.0,2025.0
2025-04-12,B,Cylinder Head,Porosity,708.0,42,418,M4,4.57,21.55,OP03,25,65,58,Fail,10.05,4.0,2025.0
2025-01-02,C,Brake Drum,Shrinkage,741.0,26,979,M1,5.24,10.99,OP04,45,88,44,Fail,2.66,1.0,2025.0
2025-07-12,C,Gear Housing,Sand Inclusion,679.0,11,686,M3,5.1,15.45,OP09,54,93,79,Pass,1.6,7.0,2025.0
2026-02-07,A,Brake Drum,Cold Shut,703.0,34,432,M2,5.23,15.9,OP09,40,74,39,Fail,7.87,2.0,2026.0
2025-12-23,B,Engine Block,Crack,692.0,109,979,M2,7.13,10.53,OP05,77,93,65,Fail,11.13,12.0,2025.0
,A,Gear Housing,Shrinkage,763.0,39,517,M1,4.28,21.13,OP15,20,84,77,Pass,7.54,,
,A,Engine Block,Misrun,660.0,28,631,M5,6.8,13.22,OP15,86,68,43,Fail,4.44,,
2025-08-09,A,Gear Housing,Sand Inclusion,753.0,5,816,M4,6.08,22.33,OP17,34,80,41,Pass,0.61,8.0,2025.0
2025-07-09,A,Clutch Plate,Porosity,654.0,58,732,M3,3.67,20.88,OP05,46,71,52,Fail,7.92,7.0,2025.0
,B,Cylinder Head,Crack,748.0,83,924,M5,4.18,25.97,OP06,26,88,58,Fail,8.98,,
2026-03-13,C,Cylinder Head,Sand Inclusion,712.0,40,1075,M3,3.12,30.0,OP08,90,83,67,Fail,3.72,3.0,2026.0
2025-10-24,B,Clutch Plate,Misrun,772.0,6,673,M5,4.8,13.99,OP07,43,85,82,Fail,0.89,10.0,2025.0
2025-10-09,B,Gear Housing,Shrinkage,729.0,31,1187,M5,3.88,17.86,OP07,62,86,44,Fail,2.61,10.0,2025.0
2025-06-29,C,Wheel Hub,Cold Shut,658.0,76,1121,M2,3.53,13.62,OP09,55,69,53,Pass,6.78,6.0,2025.0
2025-10-02,B,Clutch Plate,Crack,776.0,7,1102,M1,6.83,15.53,OP09,78,61,41,Pass,0.64,10.0,2025.0
2026-02-14,B,Cylinder Head,Misrun,680.0,55,725,M4,6.7,26.39,OP06,50,78,54,Pass,7.59,2.0,2026.0
2025-06-15,A,Gear Housing,Misrun,744.0,102,1032,M3,4.19,28.91,OP05,79,70,42,Pass,9.88,6.0,2025.0
2026-01-16,B,Engine Block,Sand Inclusion,774.0,58,873,M1,6.0,16.55,OP17,63,69,65,Fail,6.64,1.0,2026.0
2025-01-07,C,Clutch Plate,Misrun,717.0,62,1132,M2,6.3,11.6,OP04,73,65,81,Pass,5.48,1.0,2025.0
2026-05-13,B,Gear Housing,Cold Shut,667.0,31,1021,M3,6.52,21.68,OP13,51,83,69,Fail,3.04,5.0,2026.0
2025-05-24,B,Engine Block,Porosity,773.0,59,513,M4,4.92,13.93,OP20,85,67,56,Fail,11.5,5.0,2025.0
2025-12-04,A,Brake Drum,Misrun,728.0,34,1182,M5,5.21,25.31,OP20,36,83,36,Fail,2.88,12.0,2025.0
2025-12-18,A,Wheel Hub,Misrun,678.0,6,813,M4,4.15,19.75,OP11,24,84,36,Pass,0.74,12.0,2025.0
2026-04-30,A,Engine Block,Misrun,668.0,25,964,M3,3.78,27.24,OP05,85,64,56,Pass,2.59,4.0,2026.0
2026-02-09,B,Gear Housing,Shrinkage,650.0,48,652,M5,3.01,24.44,OP17,73,77,81,Fail,7.36,2.0,2026.0
2025-05-02,A,Cylinder Head,Crack,671.0,67,743,M2,6.95,27.74,OP02,31,66,36,Pass,9.02,5.0,2025.0
2025-09-07,A,Cylinder Head,Cold Shut,714.0,46,440,M5,6.82,12.08,OP18,21,93,54,Fail,10.45,9.0,2025.0
2026-02-11,B,Clutch Plate,Crack,698.0,21,1195,M3,6.84,29.65,OP05,87,83,59,Fail,1.76,2.0,2026.0
2025-07-29,B,Wheel Hub,Porosity,678.0,69,1085,M1,4.46,14.61,OP05,38,65,63,Fail,6.36,7.0,2025.0
2025-04-14,A,Engine Block,Misrun,712.0,85,987,M5,4.02,14.05,OP16,46,70,79,Pass,8.61,4.0,2025.0
2025-02-07,C,Clutch Plate,Porosity,700.0,82,830,M2,5.77,24.53,OP16,86,84,42,Pass,9.88,2.0,2025.0
2025-02-08,B,Cylinder Head,Sand Inclusion,709.0,30,605,M2,7.11,17.92,OP20,37,77,69,Fail,4.96,2.0,2025.0
2025-02-17,B,Clutch Plate,Porosity,726.0,35,483,M3,6.02,18.2,OP03,87,64,61,Pass,7.25,2.0,2025.0
2025-01-11,C,Brake Drum,Cold Shut,686.0,15,1021,M1,4.03,20.47,OP04,30,76,66,Fail,1.47,1.0,2025.0
2025-09-25,C,Brake Drum,Shrinkage,717.0,70,670,M1,3.27,28.47,OP06,67,62,47,Pass,10.45,9.0,2025.0
2025-07-11,C,Cylinder Head,Porosity,707.0,15,707,M4,4.38,27.99,OP13,52,86,74,Pass,2.12,7.0,2025.0
2025-12-01,B,Brake Drum,Crack,733.0,46,696,M1,5.98,24.65,OP16,63,90,83,Pass,6.61,12.0,2025.0
2025-01-10,A,Engine Block,Cold Shut,756.0,3,502,M2,4.06,19.54,OP03,87,95,58,Fail,0.6,1.0,2025.0
2025-10-11,A,Engine Block,Crack,654.0,41,871,M5,7.44,29.9,OP02,37,64,77,Pass,4.71,10.0,2025.0
2025-05-06,A,Engine Block,Misrun,655.0,36,1131,M1,5.37,19.83,OP05,54,65,67,Fail,3.18,5.0,2025.0
2025-08-02,C,Cylinder Head,Porosity,656.0,10,541,M5,4.27,22.44,OP11,81,76,53,Pass,1.85,8.0,2025.0
2025-10-31,C,Clutch Plate,Crack,761.0,59,847,M5,4.42,11.78,OP09,38,93,51,Fail,6.97,10.0,2025.0
2026-01-11,A,Wheel Hub,Misrun,748.0,27,782,M5,3.74,20.36,OP20,20,80,43,Pass,3.45,1.0,2026.0
2026-04-30,C,Gear Housing,Crack,733.0,40,402,M1,3.39,17.51,OP18,42,82,48,Fail,9.95,4.0,2026.0
2025-11-10,A,Gear Housing,Shrinkage,675.0,23,996,M1,5.28,21.76,OP14,54,78,76,Fail,2.31,11.0,2025.0
2025-02-03,B,Gear Housing,Porosity,669.0,56,536,M4,5.84,24.25,OP16,75,81,76,Fail,10.45,2.0,2025.0
2025-10-05,A,Engine Block,Misrun,658.0,50,1115,M2,5.81,22.04,OP02,68,79,50,Pass,4.48,10.0,2025.0
2025-04-02,A,Engine Block,Crack,728.0,56,657,M1,6.93,13.2,OP10,52,82,58,Pass,8.52,4.0,2025.0
,C,Engine Block,Shrinkage,751.0,132,1128,M1,3.66,19.9,OP16,59,85,58,Pass,11.7,,
2025-01-19,C,Clutch Plate,Crack,680.0,5,1069,M1,4.14,23.48,OP02,34,72,58,Pass,0.47,1.0,2025.0
2026-02-17,A,Brake Drum,Porosity,762.0,55,510,M1,7.5,21.06,OP17,40,91,85,Pass,10.78,2.0,2026.0
2025-03-24,A,Brake Drum,Porosity,755.0,63,1007,M5,6.23,20.18,OP11,46,73,68,Fail,6.26,3.0,2025.0
2025-09-03,C,Brake Drum,Sand Inclusion,774.0,60,608,M5,5.52,12.89,OP01,73,77,57,Fail,9.87,9.0,2025.0
2025-09-04,A,Engine Block,Misrun,691.0,14,722,M5,6.92,21.22,OP14,29,90,80,Fail,1.94,9.0,2025.0
2025-03-09,B,Brake Drum,Cold Shut,734.0,1,1117,M5,4.44,16.2,OP20,23,69,59,Fail,0.09,3.0,2025.0
,C,Gear Housing,Sand Inclusion,726.0,126,1099,M3,7.37,22.27,OP09,39,84,49,Fail,11.46,,
2025-12-05,B,Brake Drum,Sand Inclusion,685.0,92,948,M5,7.31,14.59,OP16,52,82,48,Pass,9.7,12.0,2025.0
2025-09-02,C,Clutch Plate,Crack,747.0,47,836,M2,3.85,24.4,OP17,75,61,76,Pass,5.62,9.0,2025.0
2026-01-25,C,Brake Drum,Shrinkage,732.0,13,1046,M4,4.53,23.49,OP16,35,85,37,Pass,1.24,1.0,2026.0
2025-02-17,C,Clutch Plate,Crack,740.0,56,1023,M1,7.19,18.82,OP07,57,86,63,Fail,5.47,2.0,2025.0
2025-09-25,A,Clutch Plate,Cold Shut,696.0,12,763,M1,3.34,17.01,OP10,57,82,35,Pass,1.57,9.0,2025.0
2026-01-02,A,Gear Housing,Misrun,698.0,70,1073,M5,6.51,30.0,OP10,70,90,49,Fail,6.52,1.0,2026.0
2026-01-04,A,Clutch Plate,Cold Shut,760.0,90,1106,M5,5.46,21.22,OP19,46,76,52,Pass,8.14,1.0,2026.0
2025-07-26,C,Clutch Plate,Misrun,765.0,79,714,M3,4.56,20.41,OP18,56,76,50,Pass,11.06,7.0,2025.0
2025-09-22,B,Brake Drum,Cold Shut,751.0,71,957,M3,5.58,15.94,OP08,68,74,75,Pass,7.42,9.0,2025.0
2026-03-03,C,Engine Block,Porosity,716.0,24,738,M3,4.55,29.83,OP05,67,62,67,Pass,3.25,3.0,2026.0
2025-06-23,B,Clutch Plate,Crack,652.0,86,852,M1,4.07,10.52,OP06,51,80,67,Fail,10.09,6.0,2025.0
2025-08-14,A,Gear Housing,Porosity,664.0,50,885,M4,7.5,12.26,OP02,59,70,64,Pass,5.65,8.0,2025.0
2025-12-23,B,Brake Drum,Crack,778.0,86,793,M1,5.95,22.09,OP15,44,77,46,Pass,10.84,12.0,2025.0
